Rank,Movie Name,Year
1,The Shawshank Redemption,tt0111161
2,The Godfather,tt0068646
3,The Dark Knight,tt0468569
4,The Godfather Part II,tt0071562
5,12 Angry Men,tt0050083
6,Schindler&apos;s List,tt0108052
7,The Lord of the Rings: The Return of the King,tt0167260
8,Pulp Fiction,tt0110912
9,The Lord of the Rings: The Fellowship of the Ring,tt0120737
10,"Il buono, il brutto, il cattivo",tt0060196
11,Forrest Gump,tt0109830
12,The Lord of the Rings: The Two Towers,tt0167261
13,Fight Club,tt0137523
14,Inception,tt1375666
15,Star Wars: Episode V - The Empire Strikes Back,tt0080684
16,The Matrix,tt0133093
17,Goodfellas,tt0099685
18,One Flew Over the Cuckoo&apos;s Nest,tt0073486
19,Interstellar,tt0816692
20,Se7en,tt0114369
21,It&apos;s a Wonderful Life,tt0038650
22,Shichinin no samurai,tt0047478
23,The Silence of the Lambs,tt0102926
24,Saving Private Ryan,tt0120815
25,Cidade de Deus,tt0317248
26,La vita è bella,tt0118799
27,The Green Mile,tt0120689
28,Terminator 2: Judgment Day,tt0103064
29,Star Wars,tt0076759
30,Back to the Future,tt0088763
31,Sen to Chihiro no kamikakushi,tt0245429
32,The Pianist,tt0253474
33,Gisaengchung,tt6751668
34,Psycho,tt0054215
35,Gladiator,tt0172495
36,The Lion King,tt0110357
37,Spider-Man: Across the Spider-Verse,tt9362722
38,Dune: Part Two,tt15239678
39,The Departed,tt0407887
40,Léon,tt0110413
41,American History X,tt0120586
42,Whiplash,tt2582802
43,The Prestige,tt0482571
44,Hotaru no haka,tt0095327
45,Seppuku,tt0056058
46,The Usual Suspects,tt0114814
47,Casablanca,tt0034583
48,Intouchables,tt1675434
49,Nuovo Cinema Paradiso,tt0095765
50,Modern Times,tt0027977
51,Rear Window,tt0047396
52,C&apos;era una volta il West,tt0064116
53,Alien,tt0078748
54,City Lights,tt0021749
55,Django Unchained,tt1853728
56,Apocalypse Now,tt0078788
57,Memento,tt0209144
58,WALL·E,tt0910970
59,Raiders of the Lost Ark,tt0082971
60,12th Fail,tt23849204
61,Das Leben der Anderen,tt0405094
62,Sunset Blvd.,tt0043014
63,Avengers: Infinity War,tt4154756
64,Paths of Glory,tt0050825
65,Spider-Man: Into the Spider-Verse,tt4633694
66,Witness for the Prosecution,tt0051201
67,The Shining,tt0081505
68,The Great Dictator,tt0032553
69,Aliens,tt0090605
70,Inglourious Basterds,tt0361748
71,The Dark Knight Rises,tt1345836
72,Coco,tt2380307
73,Amadeus,tt0086879
74,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012
75,Oldeuboi,tt0364569
76,American Beauty,tt0169547
77,Toy Story,tt0114709
78,Avengers: Endgame,tt4154796
79,Braveheart,tt0112573
80,Das Boot,tt0082096
81,Good Will Hunting,tt0119217
82,Mononoke-hime,tt0119698
83,Joker,tt7286456
84,Kimi no na wa.,tt5311514
85,Tengoku to jigoku,tt0057565
86,3 Idiots,tt1187043
87,Once Upon a Time in America,tt0087843
88,Singin&apos; in the Rain,tt0045152
89,Capharnaüm,tt8267604
90,Idi i smotri,tt0091251
91,Requiem for a Dream,tt0180093
92,Toy Story 3,tt0435761
93,Star Wars: Episode VI - Return of the Jedi,tt0086190
94,Eternal Sunshine of the Spotless Mind,tt0338013
95,Jagten,tt2106476
96,2001: A Space Odyssey,tt0062622
97,Reservoir Dogs,tt0105236
98,Ikiru,tt0044741
99,Lawrence of Arabia,tt0056172
100,The Apartment,tt0053604
101,Oppenheimer,tt15398776
102,Incendies,tt1255953
103,North by Northwest,tt0053125
104,Citizen Kane,tt0033467
105,Scarface,tt0086250
106,Double Indemnity,tt0036775
107,M - Eine Stadt sucht einen Mörder,tt0022100
108,Vertigo,tt0052357
109,Full Metal Jacket,tt0093058
110,Le fabuleux destin d&apos;Amélie Poulain,tt0211915
111,Heat,tt0113277
112,Up,tt1049413
113,A Clockwork Orange,tt0066921
114,To Kill a Mockingbird,tt0056592
115,The Sting,tt0070735
116,Jodaeiye Nader az Simin,tt1832382
117,Die Hard,tt0095016
118,Indiana Jones and the Last Crusade,tt0097576
119,Taare Zameen Par,tt0986264
120,Metropolis,tt0017136
121,Snatch,tt0208092
122,1917,tt8579674
123,L.A. Confidential,tt0119488
124,Ladri di biciclette,tt0040522
125,Hamilton,tt8503618
126,Taxi Driver,tt0075314
127,Der Untergang,tt0363163
128,Dangal,tt5074352
129,Batman Begins,tt0372784
130,Per qualche dollaro in più,tt0059578
131,The Wolf of Wall Street,tt0993846
132,Green Book,tt6966692
133,Some Like It Hot,tt0053291
134,The Kid,tt0012349
135,The Father,tt10272386
136,Judgment at Nuremberg,tt0055031
137,The Truman Show,tt0120382
138,All About Eve,tt0042192
139,Shutter Island,tt1130884
140,There Will Be Blood,tt0469494
141,Top Gun: Maverick,tt1745960
142,Casino,tt0112641
143,Jurassic Park,tt0107290
144,Ran,tt0089881
145,The Sixth Sense,tt0167404
146,El laberinto del fauno,tt0457430
147,Unforgiven,tt0105695
148,No Country for Old Men,tt0477348
149,A Beautiful Mind,tt0268978
150,The Thing,tt0084787
151,Kill Bill: Vol. 1,tt0266697
152,The Treasure of the Sierra Madre,tt0040897
153,Yôjinbô,tt0055630
154,The Great Escape,tt0057115
155,Monty Python and the Holy Grail,tt0071853
156,Finding Nemo,tt0266543
157,Prisoners,tt1392214
158,Hauru no ugoku shiro,tt0347149
159,Rashômon,tt0042876
160,The Elephant Man,tt0080678
161,Dial M for Murder,tt0046912
162,Chinatown,tt0071315
163,Gone with the Wind,tt0031381
164,"Lock, Stock and Two Smoking Barrels",tt0120735
165,V for Vendetta,tt0434409
166,Inside Out,tt2096673
167,El secreto de sus ojos,tt1305806
168,Raging Bull,tt0081398
169,"Three Billboards Outside Ebbing, Missouri",tt5027774
170,Trainspotting,tt0117951
171,The Bridge on the River Kwai,tt0050212
172,Klaus,tt4729430
173,Catch Me If You Can,tt0264464
174,Fargo,tt0116282
175,Warrior,tt1291584
176,Spider-Man: No Way Home,tt10872600
177,Gran Torino,tt1205489
178,Harry Potter and the Deathly Hallows - Part 2,tt1201607
179,Million Dollar Baby,tt0405159
180,Tonari no Totoro,tt0096283
181,Bacheha-Ye aseman,tt0118849
182,12 Years a Slave,tt2024544
183,Ben-Hur,tt0052618
184,Mad Max: Fury Road,tt1392190
185,Blade Runner,tt0083658
186,Barry Lyndon,tt0072684
187,Before Sunrise,tt0112471
188,The Grand Budapest Hotel,tt2278388
189,Hacksaw Ridge,tt2119532
190,Gone Girl,tt2267998
191,Dead Poets Society,tt0097165
192,Salinui chueok,tt0353969
193,The Gold Rush,tt0015864
194,In the Name of the Father,tt0107207
195,"Monsters, Inc.",tt0198781
196,Relatos salvajes,tt3011894
197,The Deer Hunter,tt0077416
198,The General,tt0017925
199,On the Waterfront,tt0047296
200,Sherlock Jr.,tt0015324
201,Jaws,tt0073195
202,How to Train Your Dragon,tt0892769
203,Ratatouille,tt0382932
204,Mary and Max.,tt0978762
205,The Third Man,tt0041959
206,Le salaire de la peur,tt0046268
207,Smultronstället,tt0050986
208,Mr. Smith Goes to Washington,tt0031679
209,Ford v Ferrari,tt1950186
210,Deadpool &amp; Wolverine,tt6263850
211,Tôkyô monogatari,tt0046438
212,Rocky,tt0075148
213,The Big Lebowski,tt0118715
214,Det sjunde inseglet,tt0050976
215,Logan,tt3315342
216,Room,tt3170832
217,Spotlight,tt1895587
218,The Terminator,tt0088247
219,Hotel Rwanda,tt0395169
220,Platoon,tt0091763
221,La haine,tt0113247
222,Before Sunset,tt0381681
223,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
224,La passion de Jeanne d&apos;Arc,tt0019254
225,Jai Bhim,tt15097216
226,The Best Years of Our Lives,tt0036868
227,The Exorcist,tt0070047
228,Rush,tt1979320
229,Network,tt0074958
230,The Wizard of Oz,tt0032138
231,The Incredibles,tt0317705
232,Stand by Me,tt0092005
233,Hachi: A Dog&apos;s Tale,tt1028532
234,Maharaja,tt26548265
235,The Sound of Music,tt0059742
236,Babam ve Oglum,tt0476735
237,Ah-ga-ssi,tt4016934
238,To Be or Not to Be,tt0035446
239,Into the Wild,tt0758758
240,La battaglia di Algeri,tt0058946
241,Groundhog Day,tt0107048
242,The Grapes of Wrath,tt0032551
243,The Iron Giant,tt0129167
244,Amores perros,tt0245712
245,Rebecca,tt0032976
246,Cool Hand Luke,tt0061512
247,The Help,tt1454029
248,It Happened One Night,tt0025316
249,Aladdin,tt0103639
250,"Paris, Texas",tt0087884
